File       | Score      | Diff         | N  | M  | C
------------------------------------------------------------
0000.txt   | 64         | -2           | 8  | 30 | 3
0001.txt   | 166        | -9           | 9  | 38 | 7
0002.txt   | 180645     | -20085       | 14 | 127 | 6
0003.txt   | 497        | -49883       | 13 | 114 | 3
0004.txt   | 140499     | -29835       | 13 | 91 | 6
0005.txt   | 315        | -39925       | 13 | 84 | 4
0006.txt   | 105        | -10          | 8  | 32 | 5
0007.txt   | 224        | 0            | 9  | 54 | 6
0008.txt   | 95         | -2           | 9  | 36 | 3
0009.txt   | 125        | -13          | 8  | 43 | 3
0010.txt   | 104        | +8           | 8  | 36 | 4
0011.txt   | 40322      | -49892       | 14 | 81 | 4
0012.txt   | 108        | -6           | 10 | 37 | 3
0013.txt   | 370        | -19928       | 13 | 59 | 5
0014.txt   | 50503      | -59989       | 11 | 89 | 6
0015.txt   | 340632     | -69963       | 15 | 147 | 7
0016.txt   | 267        | +29          | 10 | 52 | 5
0017.txt   | 291        | +12          | 10 | 72 | 4
0018.txt   | 158        | -100         | 8  | 42 | 6
0019.txt   | 280702     | -10044       | 16 | 188 | 5
0020.txt   | 80         | +2           | 8  | 25 | 6
0021.txt   | 108        | -12          | 10 | 33 | 4
0022.txt   | 20321      | -10130       | 12 | 95 | 3
0023.txt   | 87         | -3           | 9  | 26 | 5
0024.txt   | 89         | -10          | 10 | 28 | 4
0025.txt   | 97         | -54          | 8  | 47 | 3
0026.txt   | 81         | 0            | 8  | 19 | 7
0027.txt   | 130499     | -29991       | 13 | 101 | 6
0028.txt   | 70314      | +4           | 14 | 86 | 5
0029.txt   | 70365      | -10099       | 13 | 104 | 5
0030.txt   | 20270      | -9999        | 15 | 64 | 5
0031.txt   | 184        | -18          | 10 | 54 | 4
0032.txt   | 210839     | +216         | 16 | 138 | 5
0033.txt   | 20313      | -29989       | 13 | 56 | 6
0034.txt   | 120367     | -50187       | 13 | 97 | 6
0035.txt   | 45         | 0            | 8  | 16 | 4
0036.txt   | 70357      | -19949       | 16 | 74 | 7
0037.txt   | 20299      | -19961       | 15 | 58 | 5
0038.txt   | 143        | +12          | 11 | 35 | 4
0039.txt   | 40402      | -40143       | 13 | 114 | 3
0040.txt   | 296        | -40117       | 13 | 86 | 3
0041.txt   | 235        | -19992       | 10 | 44 | 6
0042.txt   | 65         | 0            | 8  | 19 | 6
0043.txt   | 305        | -30023       | 11 | 65 | 6
0044.txt   | 227        | +6           | 12 | 48 | 5
0045.txt   | 157        | -10          | 12 | 38 | 4
0046.txt   | 88         | 0            | 9  | 21 | 7
0047.txt   | 50385      | -19970       | 13 | 82 | 6
0048.txt   | 153        | -4           | 10 | 31 | 7
0049.txt   | 120        | -18          | 10 | 37 | 4
0050.txt   | 40235      | -3           | 14 | 68 | 5
0051.txt   | 154        | +2           | 10 | 43 | 4
0052.txt   | 306        | -19942       | 11 | 63 | 5
0053.txt   | 245        | +8           | 10 | 60 | 4
0054.txt   | 50566      | -39943       | 14 | 145 | 3
0055.txt   | 60239      | -10383       | 13 | 62 | 7
0056.txt   | 90292      | -39954       | 14 | 83 | 5
0057.txt   | 304        | -19944       | 14 | 72 | 3
0058.txt   | 471        | -50075       | 14 | 134 | 3
0059.txt   | 102        | -16          | 10 | 33 | 6
0060.txt   | 70505      | -50008       | 14 | 136 | 3
0061.txt   | 40635      | -59916       | 12 | 100 | 6
0062.txt   | 180448     | +20001       | 15 | 110 | 7
0063.txt   | 203        | -19998       | 11 | 40 | 7
0064.txt   | 282        | -39976       | 11 | 53 | 6
0065.txt   | 80         | -19          | 8  | 25 | 6
0066.txt   | 30265      | -10005       | 14 | 79 | 4
0067.txt   | 130537     | -49879       | 12 | 102 | 7
0068.txt   | 120295     | +29964       | 16 | 67 | 7
0069.txt   | 20290      | -39960       | 14 | 56 | 6
0070.txt   | 40408      | -70004       | 14 | 97 | 6
0071.txt   | 20316      | -60056       | 16 | 120 | 3
0072.txt   | 172        | -22          | 11 | 53 | 3
0073.txt   | 110452     | -19942       | 11 | 86 | 7
0074.txt   | 102        | -2           | 8  | 31 | 7
0075.txt   | 150384     | -39929       | 15 | 94 | 6
0076.txt   | 190        | -55          | 12 | 60 | 3
0077.txt   | 130        | -12          | 8  | 40 | 4
0078.txt   | 40376      | -20004       | 13 | 88 | 4
0079.txt   | 257        | -11          | 12 | 76 | 3
0080.txt   | 130494     | -9941        | 15 | 127 | 5
0081.txt   | 90434      | +30050       | 16 | 116 | 4
0082.txt   | 316        | -39938       | 11 | 62 | 6
0083.txt   | 80302      | -9981        | 15 | 72 | 7
0084.txt   | 40324      | -10021       | 12 | 78 | 5
0085.txt   | 228        | -19970       | 15 | 62 | 3
0086.txt   | 74         | 0            | 8  | 20 | 7
0087.txt   | 142        | -27          | 11 | 35 | 7
0088.txt   | 178        | +14          | 12 | 37 | 6
0089.txt   | 240452     | -9987        | 14 | 124 | 6
0090.txt   | 60253      | -10039       | 15 | 66 | 6
0091.txt   | 70522      | -49861       | 16 | 143 | 4
0092.txt   | 300642     | -49875       | 16 | 156 | 7
0093.txt   | 115        | +15          | 8  | 39 | 3
0094.txt   | 60562      | -19874       | 13 | 122 | 4
0095.txt   | 189        | +2           | 11 | 50 | 4
0096.txt   | 302        | -20046       | 11 | 67 | 5
0097.txt   | 120453     | -79954       | 16 | 120 | 6
0098.txt   | 148        | -22          | 10 | 44 | 5
0099.txt   | 20262      | -10100       | 12 | 70 | 4
------------------------------------------------------------
Total Score : 4299116 (Diff: -1599714)
Time        : 18.08 sec
