File       | Score      | Diff         | N  | M  | C
------------------------------------------------------------
0000.txt   | 68         | -            | 8  | 30 | 3
0001.txt   | 161        | -            | 9  | 38 | 7
0002.txt   | 50693      | -            | 14 | 127 | 6
0003.txt   | 505        | -            | 13 | 114 | 3
0004.txt   | 643        | -            | 13 | 91 | 6
0005.txt   | 324        | -            | 13 | 84 | 4
0006.txt   | 111        | -            | 8  | 32 | 5
0007.txt   | 248        | -            | 9  | 54 | 6
0008.txt   | 109        | -            | 9  | 36 | 3
0009.txt   | 153        | -            | 8  | 43 | 3
0010.txt   | 98         | -            | 8  | 36 | 4
0011.txt   | 350        | -            | 14 | 81 | 4
0012.txt   | 116        | -            | 10 | 37 | 3
0013.txt   | 286        | -            | 13 | 59 | 5
0014.txt   | 639        | -            | 11 | 89 | 6
0015.txt   | 141154     | -            | 15 | 147 | 7
0016.txt   | 218        | -            | 10 | 52 | 5
0017.txt   | 294        | -            | 10 | 72 | 4
0018.txt   | 206        | -            | 8  | 42 | 6
0019.txt   | 151036     | -            | 16 | 188 | 5
0020.txt   | 78         | -            | 8  | 25 | 6
0021.txt   | 113        | -            | 10 | 33 | 4
0022.txt   | 388        | -            | 12 | 95 | 3
0023.txt   | 94         | -            | 9  | 26 | 5
0024.txt   | 94         | -            | 10 | 28 | 4
0025.txt   | 126        | -            | 8  | 47 | 3
0026.txt   | 86         | -            | 8  | 19 | 7
0027.txt   | 20696      | -            | 13 | 101 | 6
0028.txt   | 394        | -            | 14 | 86 | 5
0029.txt   | 20467      | -            | 13 | 104 | 5
0030.txt   | 278        | -            | 15 | 64 | 5
0031.txt   | 185        | -            | 10 | 54 | 4
0032.txt   | 90604      | -            | 16 | 138 | 5
0033.txt   | 265        | -            | 13 | 56 | 6
0034.txt   | 20605      | -            | 13 | 97 | 6
0035.txt   | 45         | -            | 8  | 16 | 4
0036.txt   | 40401      | -            | 16 | 74 | 7
0037.txt   | 344        | -            | 15 | 58 | 5
0038.txt   | 135        | -            | 11 | 35 | 4
0039.txt   | 412        | -            | 13 | 114 | 3
0040.txt   | 343        | -            | 13 | 86 | 3
0041.txt   | 378        | -            | 10 | 44 | 6
0042.txt   | 65         | -            | 8  | 19 | 6
0043.txt   | 363        | -            | 11 | 65 | 6
0044.txt   | 193        | -            | 12 | 48 | 5
0045.txt   | 152        | -            | 12 | 38 | 4
0046.txt   | 90         | -            | 9  | 21 | 7
0047.txt   | 453        | -            | 13 | 82 | 6
0048.txt   | 163        | -            | 10 | 31 | 7
0049.txt   | 128        | -            | 10 | 37 | 4
0050.txt   | 258        | -            | 14 | 68 | 5
0051.txt   | 155        | -            | 10 | 43 | 4
0052.txt   | 335        | -            | 11 | 63 | 5
0053.txt   | 260        | -            | 10 | 60 | 4
0054.txt   | 605        | -            | 14 | 145 | 3
0055.txt   | 370        | -            | 13 | 62 | 7
0056.txt   | 20369      | -            | 14 | 83 | 5
0057.txt   | 317        | -            | 14 | 72 | 3
0058.txt   | 456        | -            | 14 | 134 | 3
0059.txt   | 116        | -            | 10 | 33 | 6
0060.txt   | 618        | -            | 14 | 136 | 3
0061.txt   | 488        | -            | 12 | 100 | 6
0062.txt   | 60565      | -            | 15 | 110 | 7
0063.txt   | 177        | -            | 11 | 40 | 7
0064.txt   | 269        | -            | 11 | 53 | 6
0065.txt   | 88         | -            | 8  | 25 | 6
0066.txt   | 329        | -            | 14 | 79 | 4
0067.txt   | 30853      | -            | 12 | 102 | 7
0068.txt   | 40381      | -            | 16 | 67 | 7
0069.txt   | 284        | -            | 14 | 56 | 6
0070.txt   | 635        | -            | 14 | 97 | 6
0071.txt   | 440        | -            | 16 | 120 | 3
0072.txt   | 186        | -            | 11 | 53 | 3
0073.txt   | 871        | -            | 11 | 86 | 7
0074.txt   | 113        | -            | 8  | 31 | 7
0075.txt   | 501        | -            | 15 | 94 | 6
0076.txt   | 198        | -            | 12 | 60 | 3
0077.txt   | 129        | -            | 8  | 40 | 4
0078.txt   | 399        | -            | 13 | 88 | 4
0079.txt   | 277        | -            | 12 | 76 | 3
0080.txt   | 50527      | -            | 15 | 127 | 5
0081.txt   | 467        | -            | 16 | 116 | 4
0082.txt   | 276        | -            | 11 | 62 | 6
0083.txt   | 50349      | -            | 15 | 72 | 7
0084.txt   | 375        | -            | 12 | 78 | 5
0085.txt   | 232        | -            | 15 | 62 | 3
0086.txt   | 74         | -            | 8  | 20 | 7
0087.txt   | 141        | -            | 11 | 35 | 7
0088.txt   | 174        | -            | 12 | 37 | 6
0089.txt   | 20586      | -            | 14 | 124 | 6
0090.txt   | 20273      | -            | 15 | 66 | 6
0091.txt   | 611        | -            | 16 | 143 | 4
0092.txt   | 180823     | -            | 16 | 156 | 7
0093.txt   | 102        | -            | 8  | 39 | 3
0094.txt   | 655        | -            | 13 | 122 | 4
0095.txt   | 202        | -            | 11 | 50 | 4
0096.txt   | 286        | -            | 11 | 67 | 5
0097.txt   | 44104      | -            | 16 | 120 | 6
0098.txt   | 148        | -            | 10 | 44 | 5
0099.txt   | 351        | -            | 12 | 70 | 4
------------------------------------------------------------
Total Score : 1077348
Time        : 199.97 sec
